,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
0,Baseline,fALFF,Workflow F,Gradient Boosting,Schaefer,-0.041,16.35,0.533,44.1%,62.5%,61.2%,45.5%
0,Baseline,fALFF,Workflow F,SVM,BASC197,-0.406,19.0,0.489,37.5%,59.1%,79.6%,18.2%
0,Baseline,fALFF,Workflow F,SVM,BASC444,-0.44,19.23,0.483,37.9%,58.5%,63.3%,33.3%
0,Baseline,fALFF,Workflow F,SVM,Schaefer,-0.541,19.89,0.474,33.3%,58.2%,79.6%,15.2%
0,Baseline,fALFF,Workflow F,Random Forest,BASC197,0.01,15.94,0.488,38.7%,58.8%,61.2%,36.4%
0,Baseline,fALFF,Workflow F,Random Forest,BASC444,-0.007,16.08,0.508,41.2%,60.4%,59.2%,42.4%
0,Baseline,fALFF,Workflow F,Random Forest,Schaefer,-0.025,16.22,0.493,39.4%,59.2%,59.2%,39.4%
0,Baseline,fALFF,Workflow G,ElasticNet,BASC197,0.054,15.58,0.666,65.4%,71.4%,81.6%,51.5%
0,Baseline,fALFF,Workflow G,ElasticNet,BASC444,0.165,14.64,0.716,73.1%,75.0%,85.7%,57.6%
0,Baseline,fALFF,Workflow G,ElasticNet,Schaefer,-0.015,16.14,0.549,48.0%,63.2%,73.5%,36.4%
0,Baseline,fALFF,Workflow G,Gradient Boosting,BASC197,0.227,14.09,0.741,66.7%,80.4%,75.5%,72.7%
0,Baseline,fALFF,Workflow G,Gradient Boosting,BASC444,0.221,14.14,0.711,64.7%,77.1%,75.5%,66.7%
0,Baseline,fALFF,Workflow G,Gradient Boosting,Schaefer,-0.011,16.11,0.65,55.0%,73.8%,63.3%,66.7%
0,Baseline,fALFF,Workflow G,SVM,BASC197,-0.504,19.65,0.499,40.0%,59.7%,75.5%,24.2%
0,Baseline,fALFF,Workflow G,SVM,BASC444,-0.292,18.21,0.604,51.4%,68.9%,63.3%,57.6%
0,Baseline,fALFF,Workflow G,SVM,Schaefer,-0.747,21.17,0.524,45.0%,61.3%,77.6%,27.3%
0,Baseline,fALFF,Workflow G,Random Forest,BASC197,0.182,14.49,0.726,70.0%,76.9%,81.6%,63.6%
0,Baseline,fALFF,Workflow G,Random Forest,BASC444,0.191,14.41,0.721,71.4%,75.9%,83.7%,60.6%
0,Baseline,fALFF,Workflow G,Random Forest,Schaefer,0.094,15.25,0.676,63.3%,73.1%,77.6%,57.6%
0,Baseline,fALFF,Workflow H,ElasticNet,BASC197,-0.042,16.35,0.534,45.8%,62.1%,73.5%,33.3%
0,Baseline,fALFF,Workflow H,ElasticNet,BASC444,-0.057,16.47,0.524,43.3%,61.5%,65.3%,39.4%
0,Baseline,fALFF,Workflow H,ElasticNet,Schaefer,0.001,16.01,0.483,37.9%,58.5%,63.3%,33.3%
0,Baseline,fALFF,Workflow H,Gradient Boosting,BASC197,0.169,14.6,0.584,51.7%,66.0%,71.4%,45.5%
0,Baseline,fALFF,Workflow H,Gradient Boosting,BASC444,-0.055,16.45,0.564,47.2%,65.2%,61.2%,51.5%
0,Baseline,fALFF,Workflow H,Gradient Boosting,Schaefer,-0.012,16.12,0.579,51.9%,65.5%,73.5%,42.4%
0,Baseline,fALFF,Workflow H,SVM,BASC197,-0.512,19.7,0.459,28.6%,57.4%,79.6%,12.1%
0,Baseline,fALFF,Workflow H,SVM,BASC444,-0.312,18.35,0.468,36.4%,57.1%,57.1%,36.4%
